ministry_name,start_order,end_order,start_gaz,end_gaz,name_clean
ministry of law & justice,"Monday, 3 May 1971","Wednesday, 7 February 1973","Wednesday, 5 May 1971","Thursday, 8 February 1973",law & justice
ministry of law & justice,"Tuesday, 6 November 1984","Friday, 5 July 1991","Tuesday, 6 November 1984","Friday, 5 July 1991",law & justice
ministry of law & justice,"Friday, 26 July 1996","Saturday, 23 May 1998","Saturday, 27 July 1996","Tuesday, 26 May 1998",law & justice
ministry of planning,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,planning
ministry of planning,"Monday, 3 May 1971","Friday, 5 July 1991","Wednesday, 5 May 1971","Friday, 5 July 1991",planning
ministry of communications,"Saturday, 16 July 2016",13-03-2020,"Monday, 18 July 2016",13-03-2020,communications
ministry of communications,"Monday, 3 May 1971","Friday, 21 December 2001","Wednesday, 5 May 1971","Friday, 21 December 2001",communications
department of culture,"Monday, 3 May 1971","Monday, 17 September 1979","Wednesday, 5 May 1971","Thursday, 20 September 1979",culture
department of culture,"Friday, 4 January 1985","Tuesday, 13 August 1985","Friday, 4 January 1985","Tuesday, 13 August 1985",culture
department of science & technology,"Monday, 3 May 1971","Friday, 14 February 1975","Wednesday, 5 May 1971","Monday, 17 February 1975",science & technology
department of science & technology,"Saturday, 26 November 1977","Friday, 4 January 1985","Tuesday, 29 November 1977","Friday, 4 January 1985",science & technology
department of electronics,"Thursday, 17 June 1971","Friday, 15 October 1999","Saturday, 19 June 1971","Friday, 15 October 1999",electronics
department of space,"Tuesday, 18 July 1972",13-03-2020,"Thursday, 20 July 1972",13-03-2020,space
ministry of heavy industry,"Wednesday, 7 February 1973","Friday, 11 October 1974","Thursday, 8 February 1973","Friday, 11 October 1974",heavy industry
"ministry of law, justice & company affairs","Wednesday, 7 February 1973","Tuesday, 6 November 1984","Thursday, 8 February 1973","Tuesday, 6 November 1984","law, justice & company affairs"
"ministry of law, justice & company affairs","Friday, 5 July 1991","Friday, 26 July 1996","Friday, 5 July 1991","Saturday, 27 July 1996","law, justice & company affairs"
"ministry of law, justice & company affairs","Saturday, 23 May 1998","Tuesday, 2 July 2002","Tuesday, 26 May 1998","Tuesday, 2 July 2002","law, justice & company affairs"
ministry of labour,"Saturday, 10 November 1973","Monday, 6 September 1982","Thursday, 15 November 1973","Monday, 6 September 1982",labour
ministry of labour,"Friday, 4 January 1985","Thursday, 27 May 2004","Friday, 4 January 1985","Thursday, 27 May 2004",labour
ministry of supply & rehabilitation,"Saturday, 10 November 1973","Monday, 6 September 1982","Thursday, 15 November 1973","Monday, 6 September 1982",supply & rehabilitation
ministry of agriculture & irrigation,"Friday, 11 October 1974","Tuesday, 22 July 1980","Friday, 11 October 1974","Wednesday, 23 July 1980",agriculture & irrigation
ministry of energy,"Friday, 11 October 1974","Friday, 4 January 1985","Friday, 11 October 1974","Friday, 4 January 1985",energy
ministry of energy,"Wednesday, 25 September 1985","Friday, 5 July 1991","Wednesday, 25 September 1985","Friday, 5 July 1991",energy
ministry of industry & civil supplies,"Friday, 11 October 1974","Monday, 23 August 1976","Friday, 11 October 1974","Tuesday, 24 August 1976",industry & civil supplies
department of revenue & banking,"Friday, 12 March 1976","Saturday, 2 July 1977","Sunday, 14 March 1976","Monday, 4 July 1977",revenue & banking
ministry of petroleum,"Thursday, 18 March 1976","Thursday, 9 February 1978","Friday, 19 March 1976","Friday, 10 February 1978",petroleum
ministry of petroleum,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",petroleum
ministry of chemicals & fertilisers,"Friday, 5 July 1991",13-03-2020,"Friday, 5 July 1991",13-03-2020,chemicals & fertilisers
ministry of chemicals & fertilisers,"Thursday, 18 March 1976","Thursday, 9 February 1978","Friday, 19 March 1976","Friday, 10 February 1978",chemicals & fertilisers
ministry of civil supplies & cooperation,"Monday, 23 August 1976","Thursday, 9 February 1978","Tuesday, 24 August 1976","Friday, 10 February 1978",civil supplies & cooperation
ministry of health & family welfare,"Thursday, 7 April 1977",13-03-2020,"Thursday, 7 April 1977",13-03-2020,health & family welfare
"ministry of commerce, civil supplies & cooperation","Thursday, 9 February 1978","Saturday, 18 August 1979","Friday, 10 February 1978","Saturday, 18 August 1979","commerce, civil supplies & cooperation"
"ministry of petroleum, chemicals & fertilisers","Thursday, 9 February 1978","Monday, 6 September 1982","Friday, 10 February 1978","Monday, 6 September 1982","petroleum, chemicals & fertilisers"
"ministry of steel, mines & coal","Friday, 10 August 1979","Tuesday, 22 July 1980","Monday, 13 August 1979","Wednesday, 23 July 1980","steel, mines & coal"
"ministry of steel, mines & coal","Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985","steel, mines & coal"
ministry of commerce & civil supplies,"Saturday, 18 August 1979","Tuesday, 22 July 1980","Saturday, 18 August 1979","Wednesday, 23 July 1980",commerce & civil supplies
ministry of rural reconstruction,"Saturday, 18 August 1979","Saturday, 23 January 1982","Saturday, 18 August 1979","Monday, 25 January 1982",rural reconstruction
ministry of education & culture,"Monday, 17 September 1979","Friday, 4 January 1985","Thursday, 20 September 1979","Friday, 4 January 1985",education & culture
ministry of social welfare,"Monday, 17 September 1979","Friday, 4 January 1985","Thursday, 20 September 1979","Friday, 4 January 1985",social welfare
ministry of civil supplies,"Tuesday, 22 July 1980","Thursday, 17 February 1983","Wednesday, 23 July 1980","Thursday, 17 February 1983",civil supplies
ministry of irrigation,"Tuesday, 22 July 1980","Friday, 4 January 1985","Wednesday, 23 July 1980","Friday, 4 January 1985",irrigation
department of environment,"Saturday, 1 November 1980","Monday, 6 September 1982","Wednesday, 5 November 1980","Monday, 6 September 1982",environment
department of environment,"Tuesday, 14 September 1982","Friday, 4 January 1985","Tuesday, 14 September 1982","Friday, 4 January 1985",environment
ministry of rural development,"Friday, 9 April 1999",13-03-2020,"Friday, 9 April 1999",13-03-2020,rural development
ministry of rural development,"Saturday, 23 January 1982","Friday, 4 January 1985","Monday, 25 January 1982","Friday, 4 January 1985",rural development
ministry of rural development,"Friday, 5 July 1991","Wednesday, 8 March 1995","Friday, 5 July 1991","Wednesday, 8 March 1995",rural development
department of ocean development,"Friday, 12 February 1982","Thursday, 16 February 2006","Friday, 12 February 1982","Thursday, 16 February 2006",ocean development
ministry of tourism,"Thursday, 1 June 2006",13-03-2020,"Friday, 2 June 2006",13-03-2020,tourism
ministry of tourism,"Monday, 6 September 1982","Thursday, 17 February 1983","Monday, 6 September 1982","Thursday, 17 February 1983",tourism
ministry of tourism,"Monday, 12 May 1986","Saturday, 25 June 1988","Monday, 12 May 1986","Saturday, 25 June 1988",tourism
ministry of tourism,"Tuesday, 26 December 1989","Tuesday, 26 December 1989","Tuesday, 26 December 1989","Tuesday, 26 December 1989",tourism
ministry of tourism,"Saturday, 23 May 1998","Saturday, 27 May 2000","Tuesday, 26 May 1998","Saturday, 27 May 2000",tourism
ministry of tourism,"Thursday, 6 September 2001","Friday, 21 December 2001","Thursday, 6 September 2001","Friday, 21 December 2001",tourism
ministry of tourism,"Thursday, 27 May 2004","Thursday, 16 February 2006","Thursday, 27 May 2004","Thursday, 16 February 2006",tourism
department of ecology,"Monday, 6 September 1982","Tuesday, 14 September 1982","Monday, 6 September 1982","Tuesday, 14 September 1982",ecology
department of sports,"Monday, 6 September 1982","Friday, 4 January 1985","Monday, 6 September 1982","Friday, 4 January 1985",sports
ministry of food & civil supplies,"Thursday, 17 February 1983","Saturday, 25 June 1988","Thursday, 17 February 1983","Saturday, 25 June 1988",food & civil supplies
ministry of industry & company affairs,"Tuesday, 6 November 1984","Wednesday, 25 September 1985","Tuesday, 6 November 1984","Wednesday, 25 September 1985",industry & company affairs
ministry of agriculture & rural development,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",agriculture & rural development
ministry of commerce & supply,"Friday, 4 January 1985","Saturday, 30 March 1985","Friday, 4 January 1985","Monday, 1 April 1985",commerce & supply
ministry of environment & forests,"Friday, 4 January 1985","Thursday, 31 July 2014","Friday, 4 January 1985","Friday, 1 August 2014",environment & forests
ministry of parliamentary affairs,"Monday, 12 May 1986",13-03-2020,"Monday, 12 May 1986",13-03-2020,parliamentary affairs
ministry of parliamentary affairs,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",parliamentary affairs
ministry of science & technology,"Friday, 4 January 1985",13-03-2020,"Friday, 4 January 1985",13-03-2020,science & technology
ministry of social & women's welfare,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",social & women's welfare
department of personnel & administrative reform,"Friday, 4 January 1985","Friday, 15 March 1985","Friday, 4 January 1985","Friday, 15 March 1985",personnel & administrative reform
department of sports & youth affairs,"Friday, 4 January 1985","Wednesday, 25 September 1985","Friday, 4 January 1985","Wednesday, 25 September 1985",sports & youth affairs
"ministry of personnel & training, administrative reforms and public grievances & pension","Friday, 15 March 1985","Tuesday, 10 December 1985","Friday, 15 March 1985","Tuesday, 10 December 1985","personnel & training, administrative reforms & public grievances & pension"
ministry of supply & textiles,"Saturday, 30 March 1985","Wednesday, 25 September 1985","Monday, 1 April 1985","Wednesday, 25 September 1985",supply & textiles
ministry of cultural affairs,"Tuesday, 13 August 1985","Wednesday, 25 September 1985","Tuesday, 13 August 1985","Wednesday, 25 September 1985",cultural affairs
ministry of human resource development,"Wednesday, 25 September 1985",13-03-2020,"Wednesday, 25 September 1985",13-03-2020,human resource development
ministry of parliamentary affairs & tourism,"Wednesday, 25 September 1985","Monday, 12 May 1986","Wednesday, 25 September 1985","Monday, 12 May 1986",parliamentary affairs & tourism
ministry of petroleum & natural gas,"Friday, 5 July 1991",13-03-2020,"Friday, 5 July 1991",13-03-2020,petroleum & natural gas
ministry of petroleum & natural gas,"Wednesday, 25 September 1985","Wednesday, 6 December 1989","Wednesday, 25 September 1985","Wednesday, 6 December 1989",petroleum & natural gas
ministry of programme implementation,"Wednesday, 25 September 1985","Friday, 5 July 1991","Wednesday, 25 September 1985","Friday, 5 July 1991",programme implementation
ministry of urban development,"Wednesday, 25 September 1985","Wednesday, 8 March 1995","Wednesday, 25 September 1985","Wednesday, 8 March 1995",urban development
ministry of urban development,"Friday, 9 April 1999","Saturday, 27 May 2000","Friday, 9 April 1999","Saturday, 27 May 2000",urban development
ministry of urban development,"Thursday, 27 May 2004","Thursday, 6 July 2017","Thursday, 27 May 2004","Friday, 7 July 2017",urban development
ministry of water resources,"Wednesday, 25 September 1985","Thursday, 31 July 2014","Wednesday, 25 September 1985","Friday, 1 August 2014",water resources
ministry of welfare,"Wednesday, 25 September 1985","Saturday, 23 May 1998","Wednesday, 25 September 1985","Tuesday, 26 May 1998",welfare
ministry of textiles,"Friday, 15 November 1985",13-03-2020,"Friday, 15 November 1985",13-03-2020,textiles
"ministry of personnel, public grievances & pension","Tuesday, 10 December 1985",13-03-2020,"Tuesday, 10 December 1985",13-03-2020,"personnel, public grievances & pension"
ministry of surface transport,"Wednesday, 29 October 1986","Friday, 17 November 2000","Wednesday, 29 October 1986","Friday, 17 November 2000",surface transport
ministry of civil aviation & tourism,"Saturday, 25 June 1988","Tuesday, 26 December 1989","Saturday, 25 June 1988","Tuesday, 26 December 1989",civil aviation & tourism
ministry of civil aviation & tourism,"Friday, 5 July 1991","Saturday, 23 May 1998","Friday, 5 July 1991","Tuesday, 26 May 1998",civil aviation & tourism
ministry of food processing industries,"Thursday, 6 September 2001",13-03-2020,"Thursday, 6 September 2001",13-03-2020,food processing industries
ministry of food processing industries,"Saturday, 25 June 1988","Friday, 15 October 1999","Saturday, 25 June 1988","Friday, 15 October 1999",food processing industries
ministry of civil supplies & public distribution,"Friday, 5 July 1991","Wednesday, 4 December 1991","Friday, 5 July 1991","Thursday, 5 December 1991",civil supplies & public distribution
ministry of coal,"Friday, 3 December 2004",13-03-2020,"Monday, 6 December 2004",13-03-2020,coal
ministry of coal,"Friday, 5 July 1991","Friday, 15 October 1999","Friday, 5 July 1991","Friday, 15 October 1999",coal
ministry of coal,"Saturday, 27 May 2000","Thursday, 6 September 2001","Saturday, 27 May 2000","Thursday, 6 September 2001",coal
ministry of coal,"Thursday, 30 January 2003","Monday, 12 January 2004","Thursday, 30 January 2003","Monday, 12 January 2004",coal
ministry of food,"Friday, 5 July 1991","Wednesday, 4 June 1997","Friday, 5 July 1991","Thursday, 5 June 1997",food
ministry of mines,"Friday, 3 December 2004",13-03-2020,"Monday, 6 December 2004",13-03-2020,mines
ministry of mines,"Friday, 5 July 1991","Saturday, 23 May 1998","Friday, 5 July 1991","Tuesday, 26 May 1998",mines
ministry of mines,"Saturday, 27 May 2000","Thursday, 6 September 2001","Saturday, 27 May 2000","Thursday, 6 September 2001",mines
ministry of mines,"Thursday, 30 January 2003","Monday, 12 January 2004","Thursday, 30 January 2003","Monday, 12 January 2004",mines
ministry of planning & program implementation,"Friday, 5 July 1991","Friday, 15 October 1999","Friday, 5 July 1991","Friday, 15 October 1999",planning & program implementation
ministry of power & non-conventional energy sources,"Friday, 5 July 1991","Thursday, 2 July 1992","Friday, 5 July 1991","Friday, 3 July 1992",power & non-conventional energy sources
ministry of steel,"Friday, 15 October 1999",13-03-2020,"Friday, 15 October 1999",13-03-2020,steel
ministry of steel,"Friday, 5 July 1991","Saturday, 23 May 1998","Friday, 5 July 1991","Tuesday, 26 May 1998",steel
"ministry of civil supplies, consumer affairs & public distribution","Wednesday, 4 December 1991","Wednesday, 4 June 1997","Thursday, 5 December 1991","Thursday, 5 June 1997","civil supplies, consumer affairs & public distribution"
ministry of power,"Thursday, 2 July 1992",13-03-2020,"Friday, 3 July 1992",13-03-2020,power
ministry of non-conventional energy sources,"Thursday, 2 July 1992","Saturday, 14 October 2006","Friday, 3 July 1992","Tuesday, 17 October 2006",non-conventional energy sources
department of jammu & kashmir affairs,"Tuesday, 1 November 1994","Wednesday, 27 May 1998","Tuesday, 1 November 1994","Thursday, 28 May 1998",jammu & kashmir affairs
