ministry_name,start_order,end_order,start_gaz,end_gaz,name_clean
"ministry of skill development, entreupreneurship, youth affairs & sports","Thursday, 31 July 2014","Monday, 8 December 2014","Friday, 1 August 2014","Tuesday, 9 December 2014","skill development, entreupreneurship, youth affairs & sports"
"ministry of water resources, river development & ganga rejuvenation","Thursday, 31 July 2014","Friday, 14 June 2019","Friday, 1 August 2014","Monday, 17 June 2019","water resources, river development & ganga rejuvenation"
"ministry of ayurveda, yoga & naturopathy, unani, siddha and homeopathy (ayush)","Monday, 8 December 2014",13-03-2020,"Tuesday, 9 December 2014",13-03-2020,"ayurveda, yoga & naturopathy, unani, siddha & homeopathy (ayush)"
ministry of skill development & entreupreneurship,"Monday, 8 December 2014",13-03-2020,"Tuesday, 9 December 2014",13-03-2020,skill development & entreupreneurship
niti aayog (national institution for transforming india),"Saturday, 21 March 2015",13-03-2020,"Saturday, 21 March 2015",13-03-2020,niti aayog (national institution for transforming india)
ministry of agriculture & farmers welfare,"Thursday, 27 August 2015",13-03-2020,"Thursday, 27 August 2015",13-03-2020,agriculture & farmers welfare
ministry of electronics & information technology,"Saturday, 16 July 2016",13-03-2020,"Monday, 18 July 2016",13-03-2020,electronics & information technology
ministry of housing & urban affairs,"Thursday, 6 July 2017",13-03-2020,"Friday, 7 July 2017",13-03-2020,housing & urban affairs
"ministry of fisheries, animal husbandry & dairying","Friday, 14 June 2019",13-03-2020,"Monday, 17 June 2019",13-03-2020,"fisheries, animal husbandry & dairying"
ministry of jal shakti,"Friday, 14 June 2019",13-03-2020,"Monday, 17 June 2019",13-03-2020,jal shakti
national security council secretariat,"Tuesday, 6 August 2019",13-03-2020,"Thursday, 8 August 2019",13-03-2020,national security council secretariat
