row_id,ls_number,NAME,GENDER,PARTY,DEPARTMENT,RANK,RANK_COMMENT,appointment_begin,appointment_end,HOUSE,CONSTITUENCY,STATE,ministry_name,ministry_category,ministry_category2,comments,pid,start_source,end_source,appointment_begin_in_datetime,appointment_end_in_datetime,appointment_difference_in_years,starting_year,end_year,list_of_years
2052,6,P M Sayeed,M,INC,,MoS,NOT_APPLICABLE,"Saturday, 4 August 1979","Monday, 14 January 1980",Lok Sabha,LAKSHADWEEP,Lakshadweep,"steel, mines & coal","steel, coal, mines, oil, petrol, chemicals, fertilizers",,,6_Lakshadweep_1_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-04,1980-01-14,0.4462788421391267,1979-01-01,1980-01-01,"1980,"
2053,6,Sikander Bakht,M,JP,,CM,NOT_APPLICABLE,"Saturday, 26 March 1977","Saturday, 28 July 1979",Lok Sabha,CHANDNI CHOWK,Delhi,works & housing,"works, housing, urban development",,,6_Delhi_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-03-26,1979-07-28,2.3381725839681855,1977-01-01,1979-01-01,"1978,1979,"
2054,6,Sikander Bakht,M,JP,,CM,NOT_APPLICABLE,"Saturday, 26 March 1977","Saturday, 28 July 1979",Lok Sabha,CHANDNI CHOWK,Delhi,supply & rehabilitation,"labour, employment, rehabilitation",supply,,6_Delhi_5_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-03-26,1979-07-28,2.3381725839681855,1977-01-01,1979-01-01,"1978,1979,"
2055,6,C Subramaniam,M,INC,,CM,NOT_APPLICABLE,"Monday, 30 July 1979","Monday, 14 January 1980",Lok Sabha,PALANI,Tamil_Nadu,defence,defence,,,6_Tamil_Nadu_22_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1980-01-14,0.4599683771740693,1979-01-01,1980-01-01,"1980,"
2056,6,Satish Agarwal,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,JAIPUR,Rajasthan,finance,finance,,,6_Rajasthan_6_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2057,6,Henry Austin,M,INC,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Monday, 14 January 1980",Lok Sabha,ERNAKULAM,Kerala,commerce & civil supplies,"commerce, industry, civil supplies",,,6_Kerala_11_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1980-01-14,0.4599683771740693,1979-01-01,1980-01-01,"1980,"
2058,6,Renuka Devi Barkataki,F,JP,,MoS,NOT_APPLICABLE,"Tuesday, 16 August 1977","Saturday, 28 July 1979",Lok Sabha,GAUHATI,Assam,education & social welfare,education,social welfare,,6_Assam_7_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-16,1979-07-28,1.946651881968829,1977-01-01,1979-01-01,"1978,1979,"
2059,6,Renuka Devi Barkataki,F,JP,,MoS,NOT_APPLICABLE,"Tuesday, 16 August 1977","Saturday, 28 July 1979",Lok Sabha,GAUHATI,Assam,culture,culture,,,6_Assam_7_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-16,1979-07-28,1.946651881968829,1977-01-01,1979-01-01,"1978,1979,"
2060,6,Arif Baig,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,BHOPAL,Madhya_Pradesh,"commerce, civil supplies & cooperation","commerce, industry, civil supplies",,exception: ministry out of gazette date range,6_Madhya_Pradesh_30_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2061,6,Chand Ram,M,JD,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,SIRSA,Haryana,shipping & transport,"transport: shipping, railways, civil aviation, tourism",,,6_Haryana_10_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
2062,6,Rashida Haque Chaudhury,F,INC,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Friday, 24 August 1979",Lok Sabha,SILCHAR,Assam,education & culture,education,culture,,6_Assam_2_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1979-08-24,0.06844767517471269,1979-01-01,1979-01-01,
2063,6,Rashida Haque Chaudhury,F,INC,,MoS,NOT_APPLICABLE,"Monday, 30 July 1979","Friday, 24 August 1979",Lok Sabha,SILCHAR,Assam,social welfare,social welfare,,,6_Assam_2_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-07-30,1979-08-24,0.06844767517471269,1979-01-01,1979-01-01,
2064,6,Rashida Haque Chaudhury,F,INC,,MoS,NOT_APPLICABLE,"Friday, 24 August 1979","Monday, 14 January 1980",Lok Sabha,SILCHAR,Assam,education & culture,education,culture,,6_Assam_2_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-24,1980-01-14,0.39152070199935657,1979-01-01,1980-01-01,"1980,"
2065,6,K Gopal,M,AIADMK,,MoS,NOT_APPLICABLE,"Saturday, 4 August 1979","Monday, 14 January 1980",Lok Sabha,KARUR,Tamil_Nadu,parliamentary affairs,parliamentary affairs,,,6_Tamil_Nadu_26_1_0,Council of Ministers Publication,Council of Ministers Publication,1979-08-04,1980-01-14,0.4462788421391267,1979-01-01,1980-01-01,"1980,"
2066,6,Krishna Kumar Goyal,M,BJP,,MoS,NOT_APPLICABLE,"Sunday, 14 August 1977","Saturday, 28 July 1979",Lok Sabha,KOTA,Rajasthan,"commerce, civil supplies & cooperation","commerce, industry, civil supplies",,exception: ministry out of gazette date range,6_Rajasthan_14_1_0,Council of Ministers Publication,Council of Ministers Publication,1977-08-14,1979-07-28,1.952127695982806,1977-01-01,1979-01-01,"1978,1979,"
